rank,title,search,summary,source,link
19,Breaking Bad Movie,100K+,Bryan Cranston confirms 'Breaking Bad' movie happening,CNN | 2d ago,https://www.cnn.com/2018/11/08/entertainment/bryan-cranston-breaking-bad-movie/index.html
20,Bryce Harper,100K+,Nationals' offer to Bryce Harper was biggest free agent deal in US sports ...,Washington Post | 3d ago,https://www.washingtonpost.com/sports/2018/11/07/nationals-offer-bryce-harper-was-biggest-free-agent-deal-us-sports-history-what-now/
1,Stacey Abrams,5M+,Abrams campaign: We don't accept Kemp declaring himself the winner in Georgia ...,CNN | 3d ago,https://www.cnn.com/2018/11/07/politics/stacey-abrams-brian-kemp-georgia-governors-race/index.html
2,Beto O'Rourke,5M+,Trending: Beto O'Rourke could've used that Beyonce endorsement a bit earlier.,Washington Post | 3d ago,https://www.washingtonpost.com/express/2018/11/08/trending-beto-orourke-couldve-used-that-beyonce-endorsement-bit-earlier/
3,midterm elections,5M+,How results of midterm elections will impact your money and 401(k),USA TODAY | 3d ago,https://www.usatoday.com/story/money/2018/11/08/midterm-election-stock-market-impact/1920273002/
4,Andrew Gillum,2M+,This is why Andrew Gillum lost the Florida governor race to Ron DeSantis,USA TODAY | 3d ago,https://www.usatoday.com/story/news/politics/elections/2018/11/07/florida-governor-face-why-andrew-gillum-lost-ron-desantis/1925307002/
5,US Senate election Results,2M+,Republicans Hold the Senate: All the Key Results,New York Magazine | 4d ago,http://nymag.com/intelligencer/2018/11/2018-us-senate-midterm-election-results.html
6,Jeff Sessions,2M+,What Sessions' firing means for the Mueller investigation,CNN | 2d ago,https://www.cnn.com/2018/11/08/politics/what-does-sessions-firing-mean-for-mueller/index.html
7,Voting results,2M+,Election results in Florida and Georgia prompt soul-searching for African ...,Washington Post | 3d ago,https://www.washingtonpost.com/politics/election-results-in-florida-and-georgia-prompt-soul-searching-for-african-americans/2018/11/07/c27e7c40-5ae5-11e8-858f-12becb4d6067_story.html
8,CNN,2M+,White House pulls CNN reporter Jim Acosta's pass after contentious news conference,CNN | 3d ago,https://www.cnn.com/2018/11/07/media/trump-cnn-press-conference/index.html
9,Scott Walker,2M+,How the Democrats finally defeated Wisconsin Gov. Scott Walker,Washington Post | 3d ago,https://www.washingtonpost.com/politics/how-the-democrats-finally-defeated-wisconsin-gov-scott-walker/2018/11/07/3377ed17-9cbe-4537-8b2a-acd0c37a8d35_story.html
10,Arizona Senate race,2M+,Democrat Kyrsten Sinema pulls ahead in Arizona Senate race,Vox | 2d ago,https://www.vox.com/2018/11/8/18075478/midterm-elections-arizona-vote-count-mcsally-sinema
11,California election results,2M+,"Election results 2018: Proposition 6 gas tax repeal crashes, burns [Updated]",Curbed SF | 3d ago,https://sf.curbed.com/2018/11/7/18071282/election-night-2018-california-prop-6-gas-tax-repeal-rejected
12,Republican Party,1M+,The Republican Party Goes All-in on Trumpism,The Atlantic | 3d ago,https://www.theatlantic.com/politics/archive/2018/11/republicans-will-double-down-trumpism-after-2018/575155/
13,Democratic Party,1M+,Congressional candidates sharply criticize AL Democratic Party,WSFA | 3d ago,http://www.wsfa.com/2018/11/08/congressional-candidates-sharply-criticize-al-democratic-party/
14,Florida Senate race,1M+,Bill Nelson presses ahead with recount in Florida Senate race,Tallahassee.com | 3d ago,https://www.tallahassee.com/story/news/2018/11/07/election-results-rick-scott-recount/1927003002/
15,Duke Basketball,1M+,"College basketball rankings: Duke takes top spot, Kentucky falls to No. 9 in ...",CBSSports.com | 3d ago,https://www.cbssports.com/college-basketball/news/college-basketball-rankings-duke-takes-top-spot-kentucky-falls-to-no-9-in-updated-top-25-and-1/
16,midterm elections,1M+,How results of midterm elections will impact your money and 401(k),USA TODAY | 3d ago,https://www.usatoday.com/story/money/2018/11/08/midterm-election-stock-market-impact/1920273002/
17,Alexandria Ocasio-Cortez,500K+,Alexandria Ocasio-Cortez Will Push Washington. Will Washington Push Back?,New York Times | 3d ago,https://www.nytimes.com/2018/11/07/nyregion/ocasio-cortez-congress-washington.html
18,JB Pritzker,500K+,Illinois Governor-elect JB Pritzker talks about priorities in one-on-one interview,WLS-TV | 3d ago,https://abc7chicago.com/politics/jb-pritzker-talks-about-his-priorities-after-elected-as-illinois-next-governor/4637776/
19,Montana Senate race,500K+,Jon Tester projected to defeat Matt Rosendale in Montana Senate race,Fox News | 3d ago,https://www.foxnews.com/politics/jon-tester-projected-to-defeat-matt-rosendale-in-montana-senate-race
20,Where Do I vote,500K+,Where Is My Polling Place? Answers to Common Election Day Questions,New York Times | 4d ago,https://www.nytimes.com/2018/11/06/us/politics/voting-questions.html
1,Election results,10M+,"Election results: Red states get redder, blue districts bluer, the partisan ...",USA TODAY | 3d ago,https://www.usatoday.com/story/news/politics/elections/2018/11/07/election-results-trump-partisanship-republicans-democrats-divide/1918468002/
2,where Do I vote #Electionday,10M+,"How Google, Apple, Facebook and other tech companies are getting out the vote ...",CNBC | 4d ago,https://www.cnbc.com/2018/11/06/google-facebook-and-twitter-election-day-get-out-the-vote-efforts.html
